%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1432198001676341475,812,0,Camera,0.0321952397386,-0.0308235628096,0.591404406969
1432198001892065773,813,0,Camera,0.03150467427,-0.0300896560086,0.593733804981
1432198002229876673,814,0,Camera,0.0304481573766,-0.0281142030858,0.594560570864
1432198002495397282,815,0,Camera,0.0274455420339,-0.0266679726595,0.601907089224
1432198002830333284,816,0,Camera,0.0226980196598,-0.0265694371026,0.613199234003
1432198003091199377,817,0,Camera,0.0185220291751,-0.0282512449248,0.618994777007
1432198003378769963,818,0,Camera,0.0196418795276,-0.0271945108404,0.613922280448
1432198003595849569,819,0,Camera,0.0210930734201,-0.023726638199,0.611936959271
1432198003930187213,820,0,Camera,0.0231136619309,-0.0275208435537,0.606399674205
1432198004189617535,821,0,Camera,0.024849004814,-0.0350381107939,0.600061615452
1432198004579233114,822,0,Camera,0.0270603579752,-0.0353425580283,0.595814441967
1432198004885444624,823,0,Camera,0.029176983164,-0.040318322726,0.584558434001
1432198005143297544,824,0,Camera,0.0328260220558,-0.0508277383833,0.565937273881
1432198005430784954,825,0,Camera,0.0264236610248,-0.0492617073688,0.583300223964
1432198005735599189,826,0,Camera,0.0180857205695,-0.0342049873234,0.604039486626
1432198005992877361,827,0,Camera,0.00805522917963,-0.034001526655,0.621530065937
1432198006430589682,828,0,Camera,0.00278435346979,-0.0393916058861,0.623771338551
1432198006675189178,829,0,Camera,0.00537322334951,-0.0527882340435,0.609250491622
1432198006895436308,830,0,Camera,0.00554822253748,-0.0632584173436,0.596783957697
1432198007230014008,831,0,Camera,0.00285023227916,-0.0557147105527,0.600034492414
1432198007481273558,832,0,Camera,-0.00619923112065,-0.0394906013934,0.645782960276
1432198007786367238,833,0,Camera,-0.00405438400918,-0.0335567548316,0.647742725318
1432198008097500611,834,0,Camera,0.00443277913471,-0.0356667545135,0.630112519593
1432198008329329676,835,0,Camera,0.0108499522665,-0.0368896453328,0.619367055559
1432198008588705774,836,0,Camera,0.0154502182697,-0.0401110535825,0.605952119668
1432198009177728040,837,0,Camera,0.00618002433873,-0.0352547288699,0.632606111702
1432198009396944376,838,0,Camera,0.00288750932719,-0.0284699883831,0.642146353201
1432198009680287022,839,0,Camera,0.00359486785443,-0.0219532273345,0.640779032614
1432198009985572659,840,0,Camera,0.00825859119375,-0.0293179800631,0.619435884289
1432198010295095226,841,0,Camera,0.0100440936992,-0.0370032397733,0.619490713665
1432198010792418039,842,0,Camera,0.00976208076685,-0.0430846482369,0.620488284984
1432198011332482066,843,0,Camera,0.0146819294212,-0.0610284677626,0.592231319274
1432198011600277220,844,0,Camera,0.012222460915,-0.0535154453496,0.608940624355
1432198011931780896,845,0,Camera,0.0085871134584,-0.0477219424298,0.622294114537
1432198012154997879,846,0,Camera,0.00818490371373,-0.0494870135086,0.621776490709
1432198012379890791,847,0,Camera,0.0098060820354,-0.0548145432064,0.613326377427
1432198012884214414,848,0,Camera,0.0121456960493,-0.0590740498722,0.603286726407
1432198013189259557,849,0,Camera,0.0140133791987,-0.0551560110436,0.603776327496
1432198013481189051,850,0,Camera,0.0162904091212,-0.0574096268625,0.59634819842
1432198013702152539,851,0,Camera,0.0167368173896,-0.0582210396963,0.593041822722
1432198014030374569,852,0,Camera,0.0141553506542,-0.0481512454412,0.60982223119
1432198014291840757,853,0,Camera,0.0148937745778,-0.0510372113537,0.606006595677
1432198014582235413,854,0,Camera,0.0178233688949,-0.0583430357013,0.59068152172
1432198014800628784,855,0,Camera,0.0180663269262,-0.0590551426409,0.589611026671
1432198015028894821,856,0,Camera,0.0163491293797,-0.0540683577532,0.600875443668
1432198015249551042,857,0,Camera,0.0164443263715,-0.0507414409236,0.603313995341
1432198015583785929,858,0,Camera,0.0181787980744,-0.0509654507638,0.597949212994
1432198015986435328,859,0,Camera,0.019420942746,-0.0487331695639,0.598649918687
1432198016336904740,860,0,Camera,0.0231612609939,-0.0518158944867,0.586916914465
1432198016644112762,861,0,Camera,0.024765202425,-0.0536323274981,0.579252968086
1432198016931980454,862,0,Camera,0.0240337630765,-0.0556338184017,0.577965099655
1432198017384374871,863,0,Camera,0.024937304573,-0.0642068322335,0.563638044349
1432198017647387561,864,0,Camera,0.0226702056945,-0.0572947395551,0.578018452001
1432198017993089786,865,0,Camera,0.0255358658875,-0.0596141531504,0.568833043297
1432198018291099562,866,0,Camera,0.0225435283257,-0.054144518825,0.586394231227
1432198018579924337,867,0,Camera,0.0212896380782,-0.0439386004675,0.602297331759
1432198018879352040,868,0,Camera,0.02763369924,-0.0413078186854,0.591071992001
1432198019193225191,869,0,Camera,0.0327286663907,-0.0454975739405,0.571419079259
1432198019631240248,870,0,Camera,0.0285778210962,-0.0425730272658,0.587623688251
1432198019936399490,871,0,Camera,0.0294079349476,-0.0452936046972,0.583031024572
1432198020396357796,872,0,Camera,0.0279091400909,-0.0430739775488,0.589966036684
1432198020780470775,873,0,Camera,0.0281055505086,-0.0417766442859,0.588383687507
1432198021091030045,874,0,Camera,0.0287444805855,-0.0375989918146,0.591102277761
1432198021432517729,875,0,Camera,0.0288325295725,-0.0343054148639,0.597527884136
1432198021743868010,876,0,Camera,0.0330095413827,-0.0390583183814,0.579983639789
1432198022035906169,877,0,Camera,0.036848490817,-0.0400566517829,0.570268525543
1432198022346914678,878,0,Camera,0.0374931325994,-0.0424220604248,0.563219781118
1432198022582734202,879,0,Camera,0.0378457260329,-0.0427319881632,0.5641349788
1432198022897399173,880,0,Camera,0.037620268212,-0.0388318476626,0.571402501456
1432198023135943621,881,0,Camera,0.0412113827506,-0.0428485760379,0.558040581892
1432198023446653527,882,0,Camera,0.0448302822879,-0.0477721057358,0.539238089669
1432198023742988623,883,0,Camera,0.0416208267757,-0.0429927534044,0.547597632897
1432198024130488395,884,0,Camera,0.0396191207407,-0.0404100447587,0.565637294021
1432198024352708611,885,0,Camera,0.0400252311487,-0.041846147145,0.563237250915
1432198024588962866,886,0,Camera,0.0389806115677,-0.0431192390576,0.5651224046
1432198024892799883,887,0,Camera,0.0394757536008,-0.0465834791423,0.560861271617
1432198025236343899,888,0,Camera,0.0405432475749,-0.0511493510729,0.560274945772
1432198025497668883,889,0,Camera,0.0409455625404,-0.0507456575151,0.558113199426
