time,ball-x,ball-y,ball-z,kalman-x,kalman-y,kalman-z,cam-desired-pos-x,cam-desired-pos-y,cam-desired-pos-z,cam-desired-orient-x,cam-desired-orient-y,cam-desired-orient-z,cam-desired-orient-w,cam-real-pos-x,cam-real-pos-y,cam-real-pos-z,cam-real-orient-x,cam-real-orient-y,cam-real-orient-z,cam-real-orient-w,q-real-0,q-real-1,q-real-2,q-real-3,q-real-4,q-real-5,q-real-6,q-desired-0,q-desired-1,q-desired-2,q-desired-3,q-desired-4,q-desired-5,q-desired-6,ball-kalman-error
3,0.0239853,0.0227162,0.427272,0.016788,0.0271895,0.423775,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0091673633
3.2,0.0239853,0.0227162,0.427272,0.0147761,0.0290934,0.424103,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0116413318
3.4,0.0239853,0.0227162,0.427272,0.0127568,0.0310048,0.42443,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.01424279
3.6,0.0108697,0.025706,0.44613,0.0107103,0.0329443,0.424755,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0225678758
3.8,0.0108697,0.025706,0.44613,0.00870038,0.034846,0.425083,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0230482485
4,0.0108697,0.025706,0.44613,0.00659014,0.0368512,0.4254,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0239220195
4.2,0.0108697,0.025706,0.44613,0.00458767,0.0387453,0.425729,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0250137571
4.4,0.0108697,0.025706,0.44613,0.00925173,0.0267819,0.447789,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0025549303
4.6,0.0108697,0.025706,0.44613,0.00754958,0.0275818,0.449529,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0051083288
4.8,0.0108697,0.025706,0.44613,0.00585061,0.0283798,0.451267,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0076635005
5,0.0108697,0.025706,0.44613,0.00414328,0.0291825,0.453012,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.18732,-0.615127,-0.0590757,1.91635,-0.0353449,-1.3022,1.0101,0.0102319452
5.2,0.0108697,0.025706,0.44613,0.00243758,0.0299843,0.454755,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.13994,-0.649863,-0.000199417,1.80015,0,-0.960088,0.899887,1.19129,-0.570764,-0.0722408,1.78584,-0.0415897,-1.21654,1.02373,0.0127982469
