ball_x,ball_y,ball_z,kalman_x,kalman_y,kalman_z,cam_desired_pos_x,cam_desired_pos_y,cam_desired_pos_z,cam_desired_orient_x,cam_desired_orient_y,cam_desired_orient_z,cam_desired_orient_w,cam_real_pos_x,cam_real_pos_y,cam_real_pos_z,cam_real_orient_x,cam_real_orient_y,cam_real_orient_z,cam_real_orient_w
0.155152,-0.00145282,0.561797,0.166444,0.0304691,0.607631,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.155152,-0.00145282,0.561797,0.155927,-0.000524568,0.556653,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.154687,-0.00527017,0.543685,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.153362,-0.0102918,0.529827,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.152005,-0.0154177,0.515629,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.152066,-0.0152537,0.518542,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.151073,-0.019065,0.508596,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.150079,-0.0228802,0.498638,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.149083,-0.0267011,0.488662,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.148098,-0.0304865,0.478799,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.153121,-0.0112057,0.529254,0.147114,-0.0342721,0.468935,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.147001,-0.0246524,0.495459,0.146045,-0.0383207,0.458224,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.147001,-0.0246524,0.495459,0.145047,-0.042147,0.44823,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.147001,-0.0246524,0.495459,0.146207,-0.0261968,0.491496,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.147001,-0.0246524,0.495459,0.145507,-0.0274077,0.488577,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.147001,-0.0246524,0.495459,0.144805,-0.0286225,0.485641,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.147001,-0.0246524,0.495459,0.144102,-0.0298372,0.482706,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.143948,-0.0076687,0.406394,0.143394,-0.0310595,0.479739,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.143948,-0.0076687,0.406394,0.142696,-0.0322672,0.476833,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.143948,-0.0076687,0.406394,0.143447,-0.00501806,0.392444,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.156312,-0.0125534,0.496412,0.142933,-0.00156519,0.375632,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.156312,-0.0125534,0.496412,0.142462,0.00167597,0.35999,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.156312,-0.0125534,0.496412,0.141947,0.00513222,0.343158,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.158341,-0.0123783,0.507389,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.161205,-0.0132198,0.527222,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.164057,-0.0140576,0.546979,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.181727,-0.031527,0.43182,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.188004,-0.0361801,0.42097,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.194172,-0.0407508,0.410318,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.200356,-0.0453327,0.399638,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.207027,-0.0502845,0.388072,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.213689,-0.0552298,0.376522,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.21987,-0.0598098,0.365847,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.226075,-0.0644082,0.355128,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.23228,-0.0690065,0.344409,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.238495,-0.073612,0.333673,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.244685,-0.0781994,0.322981,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.176851,-0.0284216,0.430424,0.244685,-0.0781994,0.322981,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127608,-0.0449166,0.262879,0.244685,-0.0781994,0.322981,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127608,-0.0449166,0.262879,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127608,-0.0449166,0.262879,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127608,-0.0449166,0.262879,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127608,-0.0449166,0.262879,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
0.127608,-0.0449166,0.262879,0.127608,-0.0449166,0.262879,0,0,0.055,0,0.707107,0,0.707107,0,0,0.055,0,0.707107,0,0.707107
