ball_x,ball_y,ball_z,kalman_x,kalman_y,kalman_z,cam_desired_pos_x,cam_desired_pos_y,cam_desired_pos_z,cam_desired_orient_x,cam_desired_orient_y,cam_desired_orient_z,cam_desired_orient_w,cam_real_pos_x,cam_real_pos_y,cam_real_pos_z,cam_real_orient_x,cam_real_orient_y,cam_real_orient_z,cam_real_orient_w,q_real_0,q_real_1,q_real_2,q_real_3,q_real_4,q_real_5,q_real_6,q_desired_0,q_desired_1,q_desired_2,q_desired_3,q_desired_4,q_desired_5,q_desired_6
0.0741394,0.00830585,0.498794,-0.0292442,0.123791,-0.0143816,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.0741394,0.00830585,0.498794,-0.0396148,0.134286,-0.0453158,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.0741394,0.00830585,0.498794,0.0727104,0.00711598,0.511634,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.0741394,0.00830585,0.498794,0.0696101,0.00531339,0.527374,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.150051,0.0573837,0.46919,0.0665345,0.00351704,0.543044,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.150051,0.0573837,0.46919,0.0635481,0.00174376,0.558456,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.150051,0.0573837,0.46919,0.0603256,-8.85408e-05,0.574538,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.150051,0.0573837,0.46919,0.0573483,-0.00185939,0.589923,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.150051,0.0573837,0.46919,0.143039,0.059849,0.48892,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
0.150051,0.0573837,0.46919,0.14597,0.066237,0.493497,0,0,0.095,-0.707107,0,0,0.707107,0,0,0.095,-0.707107,0,0,0.707107,1.16467,-0.928534,0.0192898,1.72752,0.0254334,-0.733243,0.944618,1.16565,-0.993855,0.019848,1.72486,0.0249116,-0.731249,0.944751
